Ticker,MSE,StdDev
AAPL,8.474237442016602,0.0
ABBV,17.354047775268555,0.0
AEP,2.6422176361083984,0.0
AMGN,3.129077672958374,0.0
AMZN,0.3326314687728882,0.0
BA,0.27520692348480225,0.0
BAC,0.7946996092796326,0.0
BCH,0.26449087262153625,0.0
BHP,3.1080565452575684,0.0
BP,2.358887195587158,0.0
BRK-A,11.702130317687988,0.0
BSAC,0.5502076148986816,0.0
BUD,2.094111680984497,0.0
C,0.7057148218154907,0.0
CAT,7.441230773925781,0.0
CHTR,0.1215057522058487,0.0
CMCSA,0.43887758255004883,0.0
CODI,3.255469799041748,0.0
CSCO,1.8963361978530884,0.0
CVX,36.57469940185547,0.0
D,3.2734885215759277,0.0
DHR,4.285855293273926,0.0
DIS,0.9552472233772278,0.0
DUK,5.58603048324585,0.0
EXC,13.645120620727539,0.0
GD,9.173714637756348,0.0
GE,0.35010969638824463,0.0
GOOG,5.046327114105225,0.0
HD,3.9460959434509277,0.0
HON,2.634183645248413,0.0
HSBC,1.0776453018188477,0.0
IEP,3.30171275138855,0.0
INTC,1.2828963994979858,0.0
JNJ,4.721938610076904,0.0
JPM,2.398529291152954,0.0
KO,10.310328483581543,0.0
LMT,6.849630355834961,0.0
MA,2.4834492206573486,0.0
MCD,6.539911270141602,0.0
MDT,0.0969165563583374,0.0
MMM,5.318448066711426,0.0
MO,0.6585046648979187,0.0
MRK,13.390494346618652,0.0
MSFT,6.200392246246338,0.0
NEE,2.8790829181671143,0.0
NGG,8.311972618103027,0.0
NVS,4.6874613761901855,0.0
ORCL,18.399789810180664,0.0
PCG,0.5622364282608032,0.0
PEP,13.901674270629883,0.0
PFE,7.822392463684082,0.0
PG,4.656928539276123,0.0
PM,8.00711441040039,0.0
PPL,0.8843594789505005,0.0
REX,2.950485944747925,0.0
SLB,0.4215126633644104,0.0
SNY,3.858701467514038,0.0
SO,9.399989128112793,0.0
SPLP,31.216659545898438,0.0
SRE,6.827364444732666,0.0
T,1.4469835758209229,0.0
TM,2.913517713546753,0.0
TSM,0.5846127867698669,0.0
UL,0.23523108661174774,0.0
UNH,10.94965934753418,0.0
UPS,5.130521297454834,0.0
V,2.138993740081787,0.0
VZ,1.4524682760238647,0.0
WFC,0.11472617089748383,0.0
WMT,3.648329019546509,0.0
XOM,24.419267654418945,0.0
