Ticker,MSE,StdDev
AAPL_pct,5.679227352142334,0.0
ABBV_pct,18.34621238708496,0.0
AEP_pct,3.3339684009552,0.0
AMGN_pct,4.21305513381958,0.0
AMZN_pct,0.41617169976234436,0.0
BAC_pct,1.168581485748291,0.0
BA_pct,0.42460158467292786,0.0
BCH_pct,0.2943260073661804,0.0
BHP_pct,2.670562744140625,0.0
BP_pct,2.6885221004486084,0.0
BRK-A_pct,11.542729377746582,0.0
BSAC_pct,0.5882238149642944,0.0
BUD_pct,1.290766954421997,0.0
CAT_pct,7.191709995269775,0.0
CHTR_pct,0.13247495889663696,0.0
CMCSA_pct,0.3895389139652252,0.0
CODI_pct,3.3576488494873047,0.0
CSCO_pct,1.6000150442123413,0.0
CVX_pct,33.744529724121094,0.0
C_pct,0.7801973819732666,0.0
DHR_pct,4.418298244476318,0.0
DIS_pct,1.0462321043014526,0.0
DUK_pct,5.366569995880127,0.0
D_pct,2.928607225418091,0.0
EXC_pct,14.506194114685059,0.0
GD_pct,8.753626823425293,0.0
GE_pct,0.2624981999397278,0.0
GOOG_pct,5.4030351638793945,0.0
HD_pct,4.209341049194336,0.0
HON_pct,2.1708803176879883,0.0
HSBC_pct,1.1820201873779297,0.0
IEP_pct,3.0781052112579346,0.0
INTC_pct,1.7665821313858032,0.0
JNJ_pct,4.5872697830200195,0.0
JPM_pct,2.54805588722229,0.0
KO_pct,10.761255264282227,0.0
LMT_pct,6.53164529800415,0.0
MA_pct,0.8897457122802734,0.0
MCD_pct,8.370777130126953,0.0
MDT_pct,0.1122625470161438,0.0
MMM_pct,5.104588031768799,0.0
MO_pct,0.5855817198753357,0.0
MRK_pct,14.01766300201416,0.0
MSFT_pct,5.74660587310791,0.0
NEE_pct,3.260915756225586,0.0
NGG_pct,8.61497688293457,0.0
NVS_pct,5.054233074188232,0.0
ORCL_pct,18.194425582885742,0.0
PCG_pct,0.19759728014469147,0.0
PEP_pct,14.445180892944336,0.0
PFE_pct,8.311934471130371,0.0
PG_pct,4.442375183105469,0.0
PM_pct,7.5945329666137695,0.0
PPL_pct,0.8888813257217407,0.0
REX_pct,2.6104917526245117,0.0
SLB_pct,0.3670800030231476,0.0
SNY_pct,4.210203647613525,0.0
SO_pct,9.908271789550781,0.0
SPLP_pct,33.557010650634766,0.0
SRE_pct,7.686811923980713,0.0
TM_pct,2.778670072555542,0.0
TSM_pct,1.4883289337158203,0.0
T_pct,1.7036937475204468,0.0
UL_pct,0.2821270525455475,0.0
UNH_pct,12.739044189453125,0.0
UPS_pct,5.077571392059326,0.0
VZ_pct,1.3187602758407593,0.0
V_pct,2.10030198097229,0.0
WFC_pct,0.12550480663776398,0.0
WMT_pct,3.601426839828491,0.0
XOM_pct,23.479188919067383,0.0
