Ticker,MSE,StdDev
AAPL_pct,0.8672575950622559,0.0
ABBV_pct,0.5724321603775024,0.0
AEP_pct,1.1503405570983887,0.0
AMGN_pct,0.6987868547439575,0.0
AMZN_pct,1.7988340854644775,0.0
BAC_pct,0.6964769959449768,0.0
BA_pct,0.6342633962631226,0.0
BCH_pct,0.942450225353241,0.0
BHP_pct,0.8905737996101379,0.0
BP_pct,0.7316312193870544,0.0
BRK-A_pct,0.865105152130127,0.0
BSAC_pct,0.9332780838012695,0.0
BUD_pct,0.666307270526886,0.0
CAT_pct,1.0208905935287476,0.0
CHTR_pct,1.699835181236267,0.0
CMCSA_pct,1.2197233438491821,0.0
CODI_pct,1.2646805047988892,0.0
CSCO_pct,0.6977052092552185,0.0
CVX_pct,0.7670491337776184,0.0
C_pct,0.6459425091743469,0.0
DHR_pct,1.7181721925735474,0.0
DIS_pct,1.385079026222229,0.0
DUK_pct,0.8853288888931274,0.0
D_pct,1.1400789022445679,0.0
EXC_pct,0.778684139251709,0.0
GD_pct,0.716003954410553,0.0
GE_pct,0.5289725065231323,0.0
GOOG_pct,1.7705589532852173,0.0
HD_pct,1.0103052854537964,0.0
HON_pct,0.7188757061958313,0.0
HSBC_pct,1.02541184425354,0.0
IEP_pct,3.0972776412963867,0.0
INTC_pct,1.3765298128128052,0.0
JNJ_pct,0.73597252368927,0.0
JPM_pct,0.6631881594657898,0.0
KO_pct,0.6331928968429565,0.0
LMT_pct,0.8368818163871765,0.0
MA_pct,0.6129995584487915,0.0
MCD_pct,0.4971528947353363,0.0
MDT_pct,0.9501281976699829,0.0
MMM_pct,1.4111487865447998,0.0
MO_pct,0.7200170755386353,0.0
MRK_pct,0.8232271671295166,0.0
MSFT_pct,1.226628065109253,0.0
NEE_pct,1.5490262508392334,0.0
NGG_pct,0.9782049655914307,0.0
NVS_pct,0.9614136219024658,0.0
ORCL_pct,1.2440464496612549,0.0
PCG_pct,0.12238053977489471,0.0
PEP_pct,0.6511399149894714,0.0
PFE_pct,1.1312987804412842,0.0
PG_pct,0.7667325139045715,0.0
PM_pct,0.5873528122901917,0.0
PPL_pct,0.707050085067749,0.0
REX_pct,0.8864001035690308,0.0
SLB_pct,0.9331977963447571,0.0
SNY_pct,1.6764850616455078,0.0
SO_pct,0.7800549268722534,0.0
SPLP_pct,0.5484766364097595,0.0
SRE_pct,0.7118821740150452,0.0
TM_pct,1.28621244430542,0.0
TSM_pct,1.3534626960754395,0.0
T_pct,1.4532700777053833,0.0
UL_pct,0.5901105403900146,0.0
UNH_pct,0.6737028956413269,0.0
UPS_pct,0.9751691222190857,0.0
VZ_pct,1.621419906616211,0.0
V_pct,0.645846426486969,0.0
WFC_pct,0.7531189918518066,0.0
WMT_pct,0.8071219325065613,0.0
XOM_pct,1.0419213771820068,0.0
