mse:8.69462776184082 mae:2.9010555744171143 mape:0.9772472977638245
mse:14.562880516052246 mae:3.786111354827881 mape:0.8837849497795105
mse:3.062892436981201 mae:1.6561386585235596 mape:0.8904984593391418
mse:4.242948532104492 mae:1.9864449501037598 mape:0.9004936814308167
mse:0.44369277358055115 mae:0.573330283164978 mape:0.9729984402656555
mse:0.34875643253326416 mae:0.4801556169986725 mape:0.8129433989524841
mse:0.8792798519134521 mae:0.8372454047203064 mape:0.7600481510162354
mse:8.855838775634766 mae:2.9299261569976807 mape:0.992853045463562
mse:17.784465789794922 mae:4.1929931640625 mape:0.978279173374176
mse:2.756171941757202 mae:1.5537985563278198 mape:0.8245642781257629
mse:4.005749702453613 mae:1.9294239282608032 mape:0.8806960582733154
mse:0.5201550126075745 mae:0.6147724390029907 mape:0.957507312297821
mse:0.39223310351371765 mae:0.5359852910041809 mape:0.896227240562439
mse:0.9076538681983948 mae:0.844342052936554 mape:0.7609279751777649
mse:0.19074498116970062 mae:0.3592102825641632 mape:1.2303885221481323
mse:3.0351295471191406 mae:1.6861027479171753 mape:0.9255046248435974
mse:2.3333511352539062 mae:1.3674594163894653 mape:1.0607707500457764
mse:11.421231269836426 mae:3.2839603424072266 mape:0.952680230140686
mse:0.4011850357055664 mae:0.5171477198600769 mape:1.3651682138442993
mse:1.7778106927871704 mae:1.3089349269866943 mape:0.9053696393966675
mse:0.7636295557022095 mae:0.820021390914917 mape:1.2893762588500977
mse:7.267029285430908 mae:2.5647847652435303 mape:0.963326632976532
mse:0.1472129374742508 mae:0.3178207278251648 mape:2.1473262310028076
mse:0.36215856671333313 mae:0.4934256076812744 mape:1.3112739324569702
mse:3.2734673023223877 mae:1.7463865280151367 mape:0.9482585787773132
mse:1.4706683158874512 mae:1.1003221273422241 mape:0.769019365310669
mse:37.07216262817383 mae:6.019476413726807 mape:0.9846026301383972
mse:2.981523275375366 mae:1.5109355449676514 mape:1.4119837284088135
mse:3.9214980602264404 mae:1.958536982536316 mape:0.8982785940170288
mse:0.841057538986206 mae:0.852427065372467 mape:1.0221160650253296
mse:5.155498504638672 mae:2.197812080383301 mape:0.9039971828460693
mse:14.371837615966797 mae:3.755443572998047 mape:0.9624361991882324
mse:8.79369831085205 mae:2.9141454696655273 mape:0.9275851845741272
mse:0.27154457569122314 mae:0.458739310503006 mape:1.224404215812683
mse:4.897956848144531 mae:2.100989818572998 mape:0.9050308465957642
mse:3.541182279586792 mae:1.8521976470947266 mape:0.8787329196929932
mse:2.1720235347747803 mae:1.4314595460891724 mape:0.9125939607620239
mse:0.9496435523033142 mae:0.8027352094650269 mape:1.218421220779419
mse:3.1694037914276123 mae:1.6510810852050781 mape:1.0081499814987183
mse:0.9777196049690247 mae:0.9062766432762146 mape:0.9863420724868774
mse:5.056424617767334 mae:2.2148611545562744 mape:0.9455335736274719
mse:2.8214271068573 mae:1.5789473056793213 mape:0.9745431542396545
mse:8.426141738891602 mae:2.8666880130767822 mape:0.8705273270606995
mse:6.246209621429443 mae:2.4521145820617676 mape:0.8961731195449829
mse:2.474637746810913 mae:1.532368540763855 mape:0.9331780672073364
mse:7.158811569213867 mae:2.6334726810455322 mape:0.9062624573707581
mse:0.13430777192115784 mae:0.29989174008369446 mape:2.04823637008667
mse:5.168328762054443 mae:2.1865720748901367 mape:1.067899465560913
mse:0.5845633745193481 mae:0.690479040145874 mape:1.0214213132858276
mse:14.715429306030273 mae:3.73869252204895 mape:0.972843587398529
mse:6.8358941078186035 mae:2.533541202545166 mape:0.989822268486023
mse:2.6561167240142822 mae:1.5499118566513062 mape:0.8239030838012695
mse:7.969299793243408 mae:2.6539180278778076 mape:0.9615510106086731
mse:4.80198860168457 mae:2.0007572174072266 mape:0.9187920689582825
mse:18.83690643310547 mae:4.006868839263916 mape:0.995907187461853
mse:0.33937180042266846 mae:0.5726694464683533 mape:0.648722767829895
mse:13.518431663513184 mae:3.6435298919677734 mape:0.9661679863929749
mse:7.846781253814697 mae:2.449502944946289 mape:0.9294757843017578
mse:5.215885639190674 mae:2.2509262561798096 mape:0.9725301861763
mse:7.351274490356445 mae:2.6558566093444824 mape:0.951076865196228
mse:0.7518491148948669 mae:0.7169532179832458 mape:1.4912422895431519
mse:2.7199110984802246 mae:1.406516432762146 mape:0.8683241009712219
mse:0.24893945455551147 mae:0.43206438422203064 mape:1.1858820915222168
mse:4.082766532897949 mae:1.8013068437576294 mape:0.9505254626274109
mse:9.525702476501465 mae:3.0504705905914307 mape:0.9651212692260742
mse:32.067115783691406 mae:5.6521759033203125 mape:0.9869770407676697
mse:7.5453996658325195 mae:2.7078490257263184 mape:0.973018229007721
mse:1.626490592956543 mae:1.0524325370788574 mape:1.003268837928772
mse:3.3344593048095703 mae:1.558202862739563 mape:0.9970079660415649
mse:1.5545203685760498 mae:1.1973212957382202 mape:0.855145275592804
mse:0.2737041413784027 mae:0.45865198969841003 mape:1.0497535467147827
mse:12.321036338806152 mae:3.494727849960327 mape:0.9601125717163086
mse:5.065621852874756 mae:2.2080721855163574 mape:0.9751330614089966
