mse:8.474237442016602 mae:2.8627374172210693 mape:0.9660657644271851
mse:17.354047775268555 mae:4.138818740844727 mape:0.963134229183197
mse:2.6422176361083984 mae:1.5219801664352417 mape:0.7984017729759216
mse:3.129077672958374 mae:1.6811268329620361 mape:0.7599782943725586
mse:0.3326314687728882 mae:0.47723832726478577 mape:1.117538571357727
mse:0.27520692348480225 mae:0.4302634596824646 mape:0.7452659606933594
mse:0.7946996092796326 mae:0.7785211801528931 mape:0.685447633266449
mse:0.26449087262153625 mae:0.43597838282585144 mape:1.143478274345398
mse:3.1080565452575684 mae:1.7069075107574463 mape:0.9351131916046143
mse:2.358887195587158 mae:1.380388617515564 mape:0.989541232585907
mse:11.702130317687988 mae:3.3264317512512207 mape:0.9610677361488342
mse:0.5502076148986816 mae:0.6128091812133789 mape:1.5338082313537598
mse:2.094111680984497 mae:1.4242262840270996 mape:0.9891483783721924
mse:0.7057148218154907 mae:0.7842437624931335 mape:1.2307003736495972
mse:7.441230773925781 mae:2.5979654788970947 mape:0.9699805974960327
mse:0.1215057522058487 mae:0.29315710067749023 mape:1.3964827060699463
mse:0.43887758255004883 mae:0.5417977571487427 mape:1.1010740995407104
mse:3.255469799041748 mae:1.7409895658493042 mape:0.9494743347167969
mse:1.8963361978530884 mae:1.280517578125 mape:0.9197277426719666
mse:36.57469940185547 mae:5.981621742248535 mape:0.9716022610664368
mse:3.2734885215759277 mae:1.6132996082305908 mape:3.3788089752197266
mse:4.285855293273926 mae:2.048013925552368 mape:0.9358301162719727
mse:0.9552472233772278 mae:0.9006552696228027 mape:1.1251312494277954
mse:5.58603048324585 mae:2.295964479446411 mape:0.9495375156402588
mse:13.645120620727539 mae:3.657313346862793 mape:0.9388954639434814
mse:9.173714637756348 mae:2.980872631072998 mape:0.9494763612747192
mse:0.35010969638824463 mae:0.4942452907562256 mape:1.1071100234985352
mse:5.046327114105225 mae:2.141829490661621 mape:0.9340424537658691
mse:3.9460959434509277 mae:1.9618511199951172 mape:0.9251996278762817
mse:2.634183645248413 mae:1.5858242511749268 mape:1.0076977014541626
mse:1.0776453018188477 mae:0.8691645264625549 mape:1.0252097845077515
mse:3.30171275138855 mae:1.6850680112838745 mape:1.040061116218567
mse:1.2828963994979858 mae:1.0591844320297241 mape:1.1436907052993774
mse:4.721938610076904 mae:2.139451742172241 mape:0.9124396443367004
mse:2.398529291152954 mae:1.441125512123108 mape:0.8643597960472107
mse:10.310328483581543 mae:3.1806252002716064 mape:0.9664598107337952
mse:6.849630355834961 mae:2.573702812194824 mape:0.9369584321975708
mse:2.4834492206573486 mae:1.5356281995773315 mape:0.9327245950698853
mse:6.539911270141602 mae:2.516752243041992 mape:0.8597841858863831
mse:0.0969165563583374 mae:0.2549874484539032 mape:1.3537116050720215
mse:5.318448066711426 mae:2.2222535610198975 mape:1.0812430381774902
mse:0.6585046648979187 mae:0.7371131777763367 mape:0.9926296472549438
mse:13.390494346618652 mae:3.5488905906677246 mape:0.9117808938026428
mse:6.200392246246338 mae:2.4064905643463135 mape:0.9396592974662781
mse:2.8790829181671143 mae:1.6160980463027954 mape:0.8522283434867859
mse:8.311972618103027 mae:2.707287073135376 mape:0.9820135235786438
mse:4.6874613761901855 mae:1.9610759019851685 mape:0.8819560408592224
mse:18.399789810180664 mae:3.958136558532715 mape:0.9722933173179626
mse:0.5622364282608032 mae:0.740268886089325 mape:0.8466361165046692
mse:13.901674270629883 mae:3.6972999572753906 mape:0.9726406931877136
mse:7.822392463684082 mae:2.461785316467285 mape:0.9418134093284607
mse:4.656928539276123 mae:2.1252987384796143 mape:0.9157934188842773
mse:8.00711441040039 mae:2.779543161392212 mape:0.9965484142303467
mse:0.8843594789505005 mae:0.7809489369392395 mape:1.0472853183746338
mse:2.950485944747925 mae:1.4877523183822632 mape:0.9377646446228027
mse:0.4215126633644104 mae:0.5737139582633972 mape:1.8582699298858643
mse:3.858701467514038 mae:1.7407257556915283 mape:0.9258812069892883
mse:9.399989128112793 mae:3.0291647911071777 mape:0.9570055603981018
mse:31.216659545898438 mae:5.576280117034912 mape:0.9711718559265137
mse:6.827364444732666 mae:2.569812536239624 mape:0.9168722033500671
mse:1.4469835758209229 mae:1.0039517879486084 mape:1.129940152168274
mse:2.913517713546753 mae:1.4194786548614502 mape:0.8961291909217834
mse:0.5846127867698669 mae:0.6639840602874756 mape:0.4650711715221405
mse:0.23523108661174774 mae:0.41801008582115173 mape:1.475852131843567
mse:10.94965934753418 mae:3.29425048828125 mape:0.9049712419509888
mse:5.130521297454834 mae:2.218745470046997 mape:0.9721872210502625
mse:2.138993740081787 mae:1.418277621269226 mape:0.8755265474319458
mse:1.4524682760238647 mae:1.1205923557281494 mape:1.2300587892532349
mse:0.11472617089748383 mae:0.27174562215805054 mape:4.392381191253662
mse:3.648329019546509 mae:1.8554775714874268 mape:0.9477430582046509
mse:24.419267654418945 mae:4.851921081542969 mape:0.9869612455368042
mse:8.429141998291016 mae:2.8565902709960938 mape:0.9628627300262451
mse:16.625324249267578 mae:4.0507001876831055 mape:0.9409757852554321
mse:3.3142518997192383 mae:1.7286627292633057 mape:0.9206541180610657
mse:4.1771063804626465 mae:1.9729973077774048 mape:0.9054398536682129
mse:0.3922540545463562 mae:0.5173100233078003 mape:1.1181120872497559
mse:0.4060920476913452 mae:0.5519406199455261 mape:0.9906700253486633
mse:1.0632611513137817 mae:0.9347540140151978 mape:0.86012202501297
mse:0.24161885678768158 mae:0.4250956177711487 mape:2.198503017425537
mse:3.4640209674835205 mae:1.8093109130859375 mape:0.9863988757133484
mse:2.772388458251953 mae:1.5246145725250244 mape:0.9872256517410278
mse:11.667277336120605 mae:3.323033332824707 mape:0.9558625817298889
mse:0.44817736744880676 mae:0.5460016131401062 mape:1.4505141973495483
mse:1.7335357666015625 mae:1.2900211811065674 mape:0.896058976650238
mse:0.863268256187439 mae:0.8787602782249451 mape:1.436596155166626
mse:7.297122955322266 mae:2.574397325515747 mape:0.950921356678009
mse:0.12143243104219437 mae:0.29577940702438354 mape:1.3397084474563599
