mse:0.641966700553894 mae:0.5662400126457214 mape:1.1074868440628052
mse:1.718644618988037 mae:0.964502215385437 mape:2.2165439128875732
mse:1.3851070404052734 mae:0.8573279976844788 mape:1.0835458040237427
mse:0.8834921717643738 mae:0.7412218451499939 mape:1.0151596069335938
mse:1.1421324014663696 mae:0.7968452572822571 mape:1.1204564571380615
mse:0.7862124443054199 mae:0.6638232469558716 mape:1.1693828105926514
mse:0.7177589535713196 mae:0.6143911480903625 mape:1.149699091911316
mse:0.5289415717124939 mae:0.5546403527259827 mape:1.2050057649612427
mse:1.7702010869979858 mae:0.971455991268158 mape:1.0390843152999878
mse:1.011139988899231 mae:0.7368001937866211 mape:1.6205307245254517
mse:0.7179723381996155 mae:0.6465098261833191 mape:1.3025074005126953
mse:1.023977279663086 mae:0.7311408519744873 mape:1.1875947713851929
mse:3.0964784622192383 mae:0.8367823958396912 mape:1.0883452892303467
mse:1.377204418182373 mae:0.8871323466300964 mape:1.0954968929290771
mse:0.7367163896560669 mae:0.6186421513557434 mape:1.0381882190704346
mse:0.6660124659538269 mae:0.5963682532310486 mape:1.1424247026443481
mse:0.6363200545310974 mae:0.5957871675491333 mape:1.1650416851043701
mse:0.8374758958816528 mae:0.6234513521194458 mape:1.0972026586532593
mse:0.6130627989768982 mae:0.5721349120140076 mape:1.021194338798523
mse:0.49758967757225037 mae:0.5322043299674988 mape:1.1229369640350342
mse:0.9523727893829346 mae:0.7321836352348328 mape:1.027513861656189
mse:1.407940149307251 mae:0.8428749442100525 mape:1.131076693534851
mse:0.7159270644187927 mae:0.557989776134491 mape:1.0991709232330322
mse:0.8236225843429565 mae:0.68970787525177 mape:1.0268465280532837
mse:1.2262389659881592 mae:0.8268485069274902 mape:1.1699773073196411
mse:1.5532675981521606 mae:0.8882446885108948 mape:1.058946967124939
mse:0.9772582054138184 mae:0.7427101731300354 mape:1.1313199996948242
mse:0.9626215100288391 mae:0.7050313949584961 mape:1.0869237184524536
mse:1.253710150718689 mae:0.7727305293083191 mape:2.26332688331604
mse:0.12257467955350876 mae:0.2581387758255005 mape:1.1106892824172974
mse:0.6513360142707825 mae:0.597589910030365 mape:1.0676754713058472
mse:1.1259129047393799 mae:0.8091017603874207 mape:1.0098333358764648
mse:0.7683605551719666 mae:0.6492403745651245 mape:1.1087099313735962
mse:0.587218701839447 mae:0.5763896107673645 mape:2.6068124771118164
mse:0.7073434591293335 mae:0.6457810401916504 mape:1.004960298538208
mse:0.8861081600189209 mae:0.6214115023612976 mape:1.0019694566726685
mse:0.9334683418273926 mae:0.730573832988739 mape:1.103761911392212
mse:1.676482081413269 mae:0.810261607170105 mape:1.0814619064331055
mse:0.7806692123413086 mae:0.6758341789245605 mape:1.172013282775879
mse:0.5495080947875977 mae:0.4986419677734375 mape:1.197913646697998
mse:0.7066574692726135 mae:0.6469262838363647 mape:0.9988768100738525
mse:1.2862133979797363 mae:0.8597007989883423 mape:1.0108970403671265
mse:1.3525853157043457 mae:0.837799072265625 mape:1.179610252380371
mse:1.4550538063049316 mae:0.8203302621841431 mape:1.0008488893508911
mse:0.5917758941650391 mae:0.5488352179527283 mape:1.3133598566055298
mse:0.6732996106147766 mae:0.5895405411720276 mape:1.059549331665039
mse:0.973848283290863 mae:0.7244703769683838 mape:1.0722241401672363
mse:1.624043345451355 mae:0.891916036605835 mape:1.010264277458191
mse:0.6446990966796875 mae:0.5989283919334412 mape:1.0809825658798218
mse:0.755774736404419 mae:0.6489434242248535 mape:1.2929103374481201
mse:0.8074892163276672 mae:0.6155044436454773 mape:1.105362892150879
mse:1.0437366962432861 mae:0.7911065220832825 mape:1.171728253364563
mse:0.8579497337341309 mae:0.6821827292442322 mape:1.0202052593231201
mse:0.5620219111442566 mae:0.537554919719696 mape:1.4908565282821655
mse:1.1408861875534058 mae:0.8113763332366943 mape:1.232507586479187
mse:0.7023799419403076 mae:0.6178187131881714 mape:1.1118662357330322
mse:1.77802312374115 mae:0.9962843060493469 mape:1.1209230422973633
mse:0.6882399320602417 mae:0.6200071573257446 mape:1.0029587745666504
mse:0.5926564931869507 mae:0.5496361255645752 mape:1.9911195039749146
mse:0.9189028143882751 mae:0.7283961176872253 mape:1.079131841659546
mse:0.8802363872528076 mae:0.7322509288787842 mape:1.0427364110946655
mse:0.7037082314491272 mae:0.6114185452461243 mape:1.0149461030960083
mse:0.8470903038978577 mae:0.6964762806892395 mape:1.1635643243789673
mse:0.9123978614807129 mae:0.7442157864570618 mape:1.0011471509933472
mse:0.665051281452179 mae:0.6134732961654663 mape:1.050612449645996
mse:0.9917789697647095 mae:0.7345784306526184 mape:1.0869213342666626
mse:1.6842586994171143 mae:0.9191394448280334 mape:1.786230206489563
mse:1.2143510580062866 mae:0.7886530756950378 mape:1.0151734352111816
mse:1.218624234199524 mae:0.848392903804779 mape:1.0200409889221191
mse:0.6832238435745239 mae:0.5975930094718933 mape:1.107192039489746
mse:0.7328840494155884 mae:0.6335936188697815 mape:1.5561323165893555
mse:0.6284239292144775 mae:0.56055748462677 mape:1.2706069946289062
mse:1.702754259109497 mae:0.9576869606971741 mape:4.155196666717529
mse:1.3841789960861206 mae:0.8550814986228943 mape:1.1135976314544678
mse:0.8729626536369324 mae:0.7375692129135132 mape:1.0050756931304932
mse:1.1221669912338257 mae:0.7927855849266052 mape:1.0671616792678833
mse:0.7605475783348083 mae:0.6552514433860779 mape:1.0631507635116577
mse:0.7066187858581543 mae:0.6080936193466187 mape:1.2607625722885132
mse:0.514109194278717 mae:0.5482067465782166 mape:1.1878712177276611
mse:1.759040117263794 mae:0.9682210087776184 mape:1.0013281106948853
mse:1.0006905794143677 mae:0.7342721819877625 mape:3.8288629055023193
mse:0.7170147895812988 mae:0.644417941570282 mape:1.3002557754516602
mse:1.0011959075927734 mae:0.721267819404602 mape:1.0220292806625366
mse:3.164452075958252 mae:0.8389078378677368 mape:1.0490550994873047
mse:1.3778361082077026 mae:0.8872116804122925 mape:1.025542140007019
mse:0.7307490110397339 mae:0.6147341728210449 mape:1.040127158164978
mse:0.6597316861152649 mae:0.5911630988121033 mape:1.0194976329803467
mse:0.6322861909866333 mae:0.5929349660873413 mape:1.1914455890655518
mse:0.8279023766517639 mae:0.6166466474533081 mape:1.0907162427902222
mse:0.5889112949371338 mae:0.5650258660316467 mape:1.028865933418274
mse:0.4932388961315155 mae:0.5299105048179626 mape:1.0611815452575684
mse:0.9495407342910767 mae:0.729446530342102 mape:1.089721441268921
mse:1.428296446800232 mae:0.8479198217391968 mape:1.1416176557540894
mse:0.6331091523170471 mae:0.5441940426826477 mape:1.5435419082641602
mse:0.8163596391677856 mae:0.6880971789360046 mape:1.0603047609329224
mse:1.2240222692489624 mae:0.8238748908042908 mape:1.0385714769363403
mse:1.5038090944290161 mae:0.8698652386665344 mape:1.350479006767273
